,0
0,0.022932483281767398
1,-0.004043730672821192
2,0.08457392528001706
3,-0.013196163627648128
4,0.03885883606516016
5,0.054456229482449346
6,0.037711884938562076
7,0.030631483042641856
8,0.07839649445703824
9,0.2043327335367916
10,0.0892363463691974
11,0.10345587346430957
12,0.2314019081958222
13,0.3501778139751598
14,0.6328076842058709
15,0.9370049798894919
16,1.494048306413589
17,2.066653818482103
18,2.9971786620995724
19,4.401079258997278
20,6.492055205516524
21,9.804082061703916
22,15.925873651524107
23,12.48626509751592
24,37.83392637722332
25,47.700135521973365
26,479.0123757257128
27,488.5177511501253
28,-17804.16635147862
29,-53985.94843312893
30,-1191420.690448195
31,1304506.7029173854
32,153388412.10275286
33,641156329.8733636
34,11171154821.920704
35,-33868196255.90003
36,-2517762423726.4604
37,-17043381914416.906
38,-569039822308361.8
39,808548290047802.9
40,2.6918195103973747e+17
41,1.0342924546672475e+18
42,5.694215403263927e+19
43,-9.950116953136231e+19
44,-2.6420552884326664e+22
45,-1.1207544212256817e+23
46,-1.0611039225477429e+25
47,1.7704739357556828e+25
48,3.913511461846296e+27
49,1.3762586598307539e+28
50,4.0727403566489956e+29
51,1.3789036681026922e+29
52,9.588422574832392e+31
53,2.0691263523784145e+32
54,-1.4406809113366392e+33
55,-1.2961958737661308e+33
56,-6.645202131464258e+35
57,-2.0272980146234653e+36
58,-1.4889617961759312e+38
59,-5.920229051156584e+38
60,2.1560988617733686e+40
61,2.9484145787816658e+41
62,1.3558108119720174e+41
63,-5.819565311562938e+43
64,1.0333800401679135e+44
65,-8.237760083702002e+46
66,-1.927502988544872e+47
67,8.083005924039629e+48
68,4.6281106421894584e+49
69,-4.785879459639289e+50
70,5.845289781890773e+51
71,-2.2772874051182488e+53
72,-1.615840085060623e+54
73,8.35932320682584e+54
74,5.336808246750026e+56
75,2.772786896547522e+57
76,-3.359104780672115e+58
77,-2.491338398283239e+59
78,4.279779365817713e+61
79,1.1955203977949542e+62
80,-6.436237359008347e+63
81,3.9098064625773915e+64
82,5.657363623759456e+65
83,-3.390785044375223e+66
84,-1.0513464394634766e+68
85,-8.739567248522467e+68
86,-2.4579161799232692e+70
87,-8.209879209538169e+70
88,-1.2733260754126179e+73
89,-7.297209909721315e+73
90,2.369202249526549e+76
91,8.658336695747634e+76
92,-7.665681262728065e+78
93,2.8418996068696828e+79
94,4.842555783633228e+80
95,-7.165828368116086e+81
96,-3.4933532595637436e+82
97,1.4600281650713147e+84
98,-2.927337778874091e+86
99,-6.430536669185514e+86
100,-1.7402064256212022e+88
101,-1.1651304590613389e+89
102,-7.740341635544188e+89
103,-2.4126895743485804e+90
104,-1.1963459131377167e+92
105,-7.328650395423645e+92
106,-1.1774514227461953e+94
107,-9.13795105066519e+94
108,-7.071009096107283e+95
109,-2.174858980034808e+96
110,-9.403442760404389e+97
111,-1.479883052234558e+99
112,-5.903689120116373e+99
113,1.2337162931442235e+101
114,1.3599321523220623e+102
115,-5.820220700273487e+102
116,-1.6294612611788274e+104
117,2.0941589505998448e+105
118,1.5190130347940769e+106
119,-7.2219326366746645e+106
120,-3.0243844251699867e+108
121,-1.7595246396317667e+109
122,4.5663794999702186e+110
123,-1.966915418654556e+112
124,-4.943817355863235e+112
125,-2.2148955737976362e+114
126,-1.633001372159375e+115
127,-1.2466276424101513e+116
128,-3.2997248951096006e+116
129,-1.616532386818698e+118
130,-1.810299054079721e+119
131,-7.893606803790036e+119
132,1.0082696586173235e+121
133,1.457706566285245e+122
134,-5.16403910043658e+122
135,-4.1444252317355727e+124
136,1.0405652034238535e+125
137,9.220455624910994e+126
138,-5.824004784742662e+126
139,3.3488258941622913e+130
140,7.658582180044658e+130
141,2.3443676430157175e+132
142,1.3373834478366646e+133
143,7.582556353003767e+133
144,2.211595470924029e+134
145,2.487873379733098e+135
146,3.7622777524309066e+136
147,3.092619438713578e+136
148,-6.03096844490293e+138
149,-5.8507470899554486e+138
150,6.717195974982596e+141
151,1.572288894807922e+142
152,3.799051423916182e+142
153,1.1617793775398236e+145
154,4.941364611271894e+145
155,8.600155626613074e+146
156,4.226534622320276e+147
157,4.703803893250334e+149
158,1.9421336964045547e+150
159,-2.272694055713367e+152
160,
161,
162,
163,
