timestep,y,ym,uc,u,theta1,theta2
0.046,-0.0010000000000000009,0.0004096,0.2,0.028504668292177886,-0.14181427011033773,-0.5988848250308648
1.046,0.0,0.0004096,0.2,0.028782038342910973,-0.14181427011033773,-0.5988848250308648
2.0460000000000003,0.0030000000000000027,0.0004096,0.2,0.02915497536557354,-0.14181427011033773,-0.5988848250308648
3.0460000000000003,0.0010000000000000009,0.0007925760000000001,0.2,0.02743354680623399,-0.14181369042779002,-0.5988847049763065
4.046,0.0020000000000000018,0.0015336345600000002,0.2,0.028462395087963457,-0.14181932462734215,-0.5988856268379011
5.046,0.0010000000000000009,0.0025846068736,0.2,0.027835077783273456,-0.14173606760242102,-0.5988774314731459
6.046,-0.0010000000000000009,0.0038771797404160003,0.2,0.02842351329167065,-0.14499745433293337,-0.5992876702381574
7.046,0.0,0.00532733592410496,0.2,0.003348068554018708,-0.015033410484386778,-0.5831453008714236
8.046,0.0010000000000000009,0.006840815272727096,0.2,1.2911462331477712,-6.48419777259676,-1.387117541611129
9.046,0.0020000000000000018,0.008319241628621972,0.2,-75.75252530279123,382.4567721576629,46.948648615434166
10.046,0.0030000000000000027,0.00966651727865642,0.2,5406.518758022715,-27434.89745978195,-3410.0636584607123
11.046,0.0,0.010795069305578204,0.2,-461003.7486681428,2307288.7453715056,286738.6040757468
12.046,0.0010000000000000009,0.011631541827637407,0.2,44784762.307844065,-224976608.9842013,-27959054.142384566
13.046,0.0,0.012121564130900181,0.2,-5034369542.957659,25179712215.684147,3129218302.0024433
14.046,0.0010000000000000009,0.012233284765654447,0.2,638279959548.181,-3206452988505.4106,-398483163432.30646
15.046,0.0020000000000000018,0.011959441890641175,0.2,-91303444455452.77,460989427850583.44,57289636298115.18
16.046,0.0010000000000000009,0.011317835292736228,0.2,1.4783662602520724e+16,-7.431154932949442e+16,-9235096027443170.0
17.046,0.0,0.010350169400803428,0.2,-2.6690204858983025e+18,1.3348914667709436e+19,1.6589414422222497e+18
18.046,0.0,0.009119342497818407,0.2,5.314782032022275e+20,-2.6573910160111373e+21,-3.302482781850325e+20
19.046,0.0010000000000000009,0.007705358332475189,0.2,-1.16114147015068e+23,5.833274933554243e+23,7.249324587082613e+22
20.046,0.0,0.0062001258755210835,0.2,2.8103356649789403e+25,-1.4055454492295063e+26,-1.7467469473709808e+25
21.046,0.0,0.004701485236658108,0.2,-7.404315492648466e+27,3.702157746324233e+28,4.600870605516619e+27
22.046,-0.0010000000000000009,0.003306848057412356,0.2,2.133936170050001e+30,-1.0619323758484433e+31,-1.319720494875864e+30
23.046,0.0010000000000000009,0.002106865754434801,0.2,-6.581620693574325e+32,3.3056651269555817e+33,4.10812789633068e+32
24.046,0.0010000000000000009,0.0011795371774189836,0.2,2.2151356623969193e+35,-1.1131334986919193e+36,-1.3833508848272066e+35
25.046,0.0020000000000000018,0.0005851386838709323,0.2,-8.0065502435003095e+37,4.042716949415638e+38,5.024101849106149e+37
26.046,0.0,0.0003623061758712704,0.2,3.1569225022426354e+40,-1.5792175124629576e+41,-1.9625785638177844e+40
27.046,-0.0010000000000000009,0.0005255237664399759,0.2,-1.329952393314853e+43,6.618227852044328e+43,8.224827808948634e+42
28.046,0.0,0.001064182312190083,0.2,5.938365828014954e+45,-2.96849639540919e+46,-3.689110174135745e+45
29.046,0.0010000000000000009,0.0019432690076478345,0.2,-2.8301558753069212e+48,1.42186443595606e+49,1.7670274301290606e+48
30.046,0.0020000000000000018,0.0031056432176084768,0.2,1.437351957379748e+51,-7.257716149287051e+51,-9.019554320069652e+50
31.046,0.0010000000000000009,0.004475750618424567,0.2,-7.839134814947314e+53,3.9401336525973874e+54,4.896616067222141e+53
32.046,0.0010000000000000009,0.005964534229043061,0.2,4.519017998586394e+56,-2.2708633158725596e+57,-2.822124013899065e+56
33.046,0.0020000000000000018,0.007475223114773756,0.2,-2.7469122716604726e+59,1.3870316801759096e+60,1.7237388905369397e+59
34.046,0.0010000000000000009,0.008909622498044159,0.2,1.7833952478485864e+62,-8.96367030476086e+62,-1.113963532852244e+62
35.046,0.0010000000000000009,0.010174496418941694,0.2,-1.21778412952148e+65,6.119518238801407e+65,7.605054542254074e+64
36.046,0.0010000000000000009,0.011187628072608022,0.2,8.769951065598553e+67,-4.407010585727916e+68,-5.476829149759403e+67
37.046,0.0,0.01188316390155483,0.2,-6.685077278498239e+70,3.343206273921306e+71,4.154782299359146e+70
38.046,0.0020000000000000018,0.012215894076900576,0.2,5.2849342675563654e+73,-2.6680979005665566e+74,-3.3157888033121594e+73
39.046,0.0,0.012164191137247786,0.2,-4.472773685523967e+76,2.237254825467265e+77,2.7803569347531166e+76
40.046,-0.0010000000000000009,0.01173141577367389,0.2,3.9563947369038134e+79,-1.9687297600073835e+80,-2.4466463893973883e+79
41.046,0.0010000000000000009,0.010945698384811194,0.2,-3.615242578105668e+82,1.8160173017195132e+83,2.2568624016322946e+82
42.046,0.0010000000000000009,0.009858110600935771,0.2,3.490592421278995e+85,-1.7540665433562788e+86,-2.179872861295753e+85
43.046,0.0,0.008539345627999526,0.2,-3.543765212387597e+88,1.772207339095427e+89,2.2024174041261597e+88
44.046,0.0,0.007075123189243313,0.2,3.742185761781805e+91,-1.8710928808909025e+92,-2.3253077869060683e+91
45.046,-0.0030000000000000027,0.005560617743186284,0.2,-4.1845062655847856e+94,2.0624194422197914e+95,2.5630795979388772e+94
46.046,-0.0050000000000000044,0.004094272143822147,0.2,4.85925939930968e+97,-2.3711842453257387e+98,-2.9467982301443097e+97
47.046,-0.0020000000000000018,0.0027713988551095717,0.2,-5.7419270016616046e+100,2.8410728151037024e+101,3.5307540355678265e+100
48.046,-0.0010000000000000009,0.0016779846408148742,0.2,7.125832771159942e+103,-3.5445864112543826e+104,-4.405048230169516e+103
49.046,0.0,0.0008851014248672101,0.2,-9.203862145223719e+106,4.601152949438714e+107,5.718100309900916e+106
50.046,0.0,0.00044428661630317745,0.2,1.2418838012893175e+110,-6.209419006446588e+110,-7.716779062821244e+109
51.046,0.0050000000000000044,0.00038419317767943823,0.2,-1.69902107708289e+113,8.705556086168537e+113,1.0818862902667166e+113
52.046,0.009000000000000008,0.0007087271825065356,0.2,2.421717639331739e+116,-1.2670490599785918e+117,-1.5746300334152268e+116
53.046,0.01100000000000001,0.0013967939204707082,0.2,-3.617037608988663e+119,1.91312434122114e+120,2.377542543929141e+119
54.046,0.014000000000000012,0.002403669053604285,0.2,5.5730633577804476e+122,-2.9947327770636496e+123,-3.721715537121417e+122
55.046,0.018000000000000016,0.003663905698253583,0.2,-8.84569894949755e+125,4.856915205094883e+126,6.03594982488105e+125
56.046,0.02400000000000002,0.005095588472516397,0.2,1.4369946655538706e+129,-8.156102062119725e+129,-1.0136026826641254e+129
57.046,0.030000000000000027,0.006605657996065647,0.2,-2.4120446074042363e+132,1.4173129404299515e+133,1.7613710417706764e+132
58.046,0.03899999999999998,0.00809595974987063,0.2,4.107925809676802e+135,-2.5471810400235305e+136,-3.165518915451192e+135
59.046,0.04899999999999999,0.009469624119934026,0.2,-7.159164044371147e+138,4.731764238667762e+139,5.880417985845223e+138
60.046,0.061,0.01063736292220171,0.2,1.26545874433128e+142,-9.080750365923597e+142,-1.1285137019375716e+142
61.046,0.07300000000000001,0.011523273134526286,0.2,-2.2915795169039213e+145,1.799406784382898e+146,2.2362196181008982e+145
62.046,0.09000000000000002,0.012069770593106655,0.2,4.0659521056218794e+148,-3.679821113945728e+149,-4.5731116707606574e+148
63.046,0.10799999999999998,0.012241332963135091,0.2,-7.18160618936648e+151,7.7624954854292855e+152,9.646870757959114e+151
64.04599999999999,0.125,0.01202680869055975,0.2,1.2743633633583436e+155,-1.6882912539403842e+156,-2.098130370462292e+155
65.04599999999999,0.14300000000000002,0.011440141853098027,0.2,-2.1760774702534697e+158,3.784120806132577e+159,4.702730509510401e+158
66.04599999999999,0.167,0.010519465795184934,0.2,2.9414792420236895e+161,-8.736961169102533e+162,-1.0857891688806368e+162
67.04599999999999,0.191,0.009324624460584822,0.2,-2.0063506890634535e+164,2.0770428323207123e+166,2.58125287154807e+165
68.04599999999999,0.227,0.007933282536046696,0.2,-1.3223669515484514e+168,-5.082032008332513e+169,-6.315714587431281e+168
69.04599999999999,0.26,0.006435877246665535,0.2,7.561831840292056e+171,1.279259606308219e+173,1.5898047362600917e+172
70.04599999999999,0.28800000000000003,0.004929739936251114,0.2,-2.8894694293488e+175,-3.3115914035077223e+176,-4.115492799032622e+175
71.04599999999999,0.311,0.0035127695299803714,0.2,9.728440918659892e+178,8.81259397603374e+179,1.0951884646985423e+179
