,a1,a2,b0,b1
52,0.9881664587090766,0.011762584902994182,6.711128412122858e-34,5.253237129391028e-34
53,0.9886156423175257,0.01130460689415899,1.4116182841135035e-36,7.4238067429176e-34
54,0.9891872846563596,0.010727704690506525,2.3348787312356034e-36,-4.019306900312507e-36
55,0.989469885198115,0.010444222149919146,1.5072245385795895e-37,8.98871283992989e-37
56,0.989559745167194,0.010354329496469595,2.3525016708588637e-38,-2.9447341183448933e-38
57,0.9895694655554949,0.010344655729782902,3.911498566103153e-41,-1.191607702076237e-38
58,0.9895714786339217,0.01034264484356427,1.6187141804255813e-41,-9.635112546562493e-41
59,0.9895722214283019,0.010341910769941407,4.49939201130759e-43,-4.852586027808263e-41
60,0.9895791081053801,0.01033506252213304,-2.226573969378311e-43,9.516439902967725e-43
61,0.9895862294412774,0.010328036291626411,3.6301103828925446e-45,4.4029436966037904e-44
62,0.9895871854777374,0.010327056271746791,1.6744931782847367e-45,-2.624138048732286e-44
63,0.9896105653029573,0.010304005206994775,-2.42553345468653e-46,1.8106191206055653e-46
64,0.9896451154592005,0.010269393083100112,6.429982776006965e-49,5.164837306213771e-47
65,0.9896467969003505,0.010267749766705732,5.2655893925901626e-49,4.015769732598577e-49
66,0.989653677394958,0.010260862211861689,-1.0520968734764404e-51,-5.354773967035923e-49
67,0.9896609162074785,0.010253703783032033,-3.769757707213671e-52,1.627908308138071e-51
68,0.989669073464939,0.01024569741626655,2.1454251870583574e-53,6.866064450981471e-52
69,0.9896979067834322,0.010216855638286748,4.314336280062214e-54,-2.2033442879232565e-53
70,0.9897087352492641,0.010206145180575985,2.3449657211141435e-55,1.5379534576251513e-54
71,0.9897259893690072,0.010188938348503141,-5.852033929251758e-57,-7.914526514000905e-56
72,0.9897259950565759,0.010188928157872175,-5.564256313485687e-58,-1.4607906082971316e-56
73,0.9897262103440619,0.010188721794414506,-1.5094772020823043e-58,1.1587414914998109e-57
74,0.989740519709424,0.01017460870441559,5.556234326850471e-60,3.5194441473803586e-59
75,0.9897424803653819,0.010172597752740377,-7.307171728648801e-62,7.165657741737782e-60
76,0.9897438713330026,0.01017117087311804,4.270412616258212e-62,-2.785327430482844e-61
77,0.9897480445449434,0.010167091603934092,-3.1069147254824016e-63,-3.7637279465958957e-62
78,0.9897550412483007,0.010160036779953998,4.1451573732650425e-65,2.8377421487367572e-64
79,0.9897550751646357,0.01015999882554701,3.964364918143438e-66,5.574090166466712e-64
80,0.9897583456485494,0.01015672396119524,7.108210179362286e-67,-1.7386095578501005e-66
81,0.9897663291268155,0.010148829414057878,9.013699603814541e-69,2.301925925990343e-67
82,0.9897670404727354,0.010148151737221216,5.377474282839931e-69,2.9475060608713534e-68
83,0.9897748397792442,0.010140321969034964,1.5684470359927995e-70,-2.5176641736201673e-69
84,0.9897791752171957,0.010136050571462095,-1.032550989418584e-71,-9.805393627336231e-71
85,0.98977990125743,0.010135306347441635,9.896972701155457e-73,-3.0720699528405175e-71
86,0.9897835721530686,0.010131626905447657,4.714171588074238e-74,-8.799581806689179e-73
87,0.989783598247585,0.01013159980115376,2.520360879317014e-74,-6.976811272934673e-73
88,0.989807940113255,0.010107504201611795,4.096889036814089e-76,-1.8062699122922686e-75
89,0.9898086566765855,0.01010675509343702,2.7777249496966e-78,-4.365062959777173e-76
90,0.9898097008806566,0.010105762037085157,-3.913482081221174e-80,9.851323569484233e-79
91,0.9898097036996546,0.01010576162650688,3.163454314049755e-81,7.423520005936526e-79
92,0.9898105907625379,0.01010483690503909,8.689864183039995e-82,-2.721532466110903e-81
93,0.9898146935516337,0.01010085182024551,1.0028413739138863e-83,4.241366723662128e-82
94,0.9898156759289549,0.010099936675709926,5.482189287718194e-84,1.8959130751165103e-83
95,0.9898316849932016,0.010083809552684904,-4.653573011726751e-87,-1.6784443086473364e-84
96,0.9898323797355381,0.010083147345653075,-5.802523473298223e-86,-7.958718046767839e-85
97,0.989857259018731,0.010058314110397622,-3.3695277834871934e-87,1.6350922139026474e-86
98,0.989867906525463,0.010047755057101378,3.320300020398591e-89,-6.371064531142004e-89
99,0.9898697963339868,0.010045860078624548,-8.129992473836766e-90,-1.692066244301584e-87
100,0.9898940285442942,0.010021996464246537,3.0500270799366736e-91,-8.767841692346315e-91
101,0.9899722446725678,0.009943921322019636,1.199419533262434e-92,-2.447992566301894e-91
102,0.9900068826635336,0.009909547129507461,4.511918891123518e-93,-3.3718745517628275e-92
103,0.9900551705606552,0.00986161748333596,3.967996820687078e-93,-2.6277430213679413e-92
104,0.9900838900165044,0.009832942993649717,4.404183901975807e-95,-1.8923538855774486e-94
105,0.9900872459652756,0.009829533342001364,1.3105281355519302e-96,-5.289690780228918e-95
106,0.9901025509201461,0.009814533099178948,2.91222961442079e-97,-2.0375705167950547e-96
107,0.9901108667158187,0.009806090569369251,3.107518370742894e-98,-4.591324192257485e-97
108,0.9901213523113385,0.009795833246190034,5.6054938554267245e-99,-4.8600947926181e-98
109,0.9901706829873571,0.009747159089427944,4.448578586927912e-99,-3.4092996863239727e-98
110,0.9901787581369731,0.009738962154730198,7.863629705957147e-101,-2.7049126748463437e-100
111,0.9901914131454945,0.009726079808529667,9.105190768544647e-103,-2.6095374067822907e-101
112,0.9901929580757712,0.009724653951792181,5.337048632294339e-103,-9.031322669847427e-102
113,0.9902078810963384,0.009709615987223382,-5.4043216566196104e-104,2.4794450660990154e-103
114,0.9902527690000635,0.009665482267729045,1.4733464306293295e-105,2.2517319451120903e-104
115,0.9902774824992955,0.00964044056435519,2.3103022167132715e-106,-3.0083431962589196e-105
116,0.9903071757905626,0.00961137612671184,-2.9683657687745076e-107,-1.127650149967546e-106
117,0.99034512236357,0.00957309748552545,-1.307847814697401e-109,1.1753686282488011e-107
118,0.990347886445462,0.0095704641210088,2.1128461023743682e-109,2.2999899614579233e-108
119,0.9903738387199248,0.009544393882767831,2.0218312949498117e-110,-1.645427682708623e-109
120,0.9904365705719669,0.009482409631864972,-1.1733048236856055e-111,-7.517808409329817e-111
121,0.990448222848597,0.009470563356120695,3.716053989679667e-113,-1.959066063597179e-111
122,0.9904634385600212,0.009455245540626756,-1.0351443223502046e-113,5.999688959282132e-113
123,0.9904730635038946,0.009445796620323924,4.7548893842011095e-116,-9.510390894100912e-115
124,0.9904758405093651,0.009443003364440865,-9.930844964761303e-116,-4.401360411091231e-114
